factor	real_us_rate	real_btw_rate	real_ds_rate	permmean_us_rate	permmean_btw_rate	permmean_ds_rate	l2fc_us_rate	l2fc_btw_rate	l2fc_ds_rate	z_us_rate	z_btw_rate	z_ds_rate	ds_frac	btw_frac	us_frac
EBF1	0.0082626024116164	0.00663268602878852	0.00668072829842993	0.00641121728166107	0.00535937299256762	0.00624541787746117	0.365997944631234	0.307529008900062	0.0972072814295805	1.80910694059164	1.09659609449927	0.406362493291505	0.20873786407767	0.138349514563107	0.184466019417476
RUNX3	0.0115625985530083	0.00902838072866694	0.00888588498090208	0.00953016146591739	0.00754956993603078	0.00884460939899349	0.278893099901901	0.258072795422261	0.00671703604240301	1.54991261395991	1.01810361040126	0.030971966368774	0.254854368932039	0.189320388349515	0.228155339805825
TCF3	0.00352333183033959	0.00178482513111976	0.00226155942969466	0.00218564727688039	0.00135966990040815	0.00202683916428852	0.688879760007991	0.392526295000018	0.158086296678236	3.21259571960734	1.0145491335946	0.555044631448997	0.109223300970874	0.0655339805825243	0.111650485436893
PPARGC1A	0.000272693148898231	0.000271497586114962	0.000217981631777798	0.000243475554611842	0.000153128222550841	0.000226540811023144	0.163501524279946	0.826199165440393	-0.0555644018341919	0.251843425975335	0.954462044335191	-0.076962515613473	0.00970873786407767	0.0121359223300971	0.0121359223300971
NFATC1	0.00305157268274565	0.00294099760159032	0.00365296343303632	0.00264639850828339	0.00231024372210101	0.00293300737843977	0.20552262670761	0.348260549075707	0.316686611654082	0.744424264640616	0.951280957136168	1.14314770485664	0.0970873786407767	0.0533980582524272	0.0655339805825243
CTCF_GainedDko	0.00265344068535424	0.00261357151273568	0.00220556539803173	0.00203039739418348	0.00208700843234606	0.00229926814810138	0.386102176569919	0.324586205392918	-0.06002618869186	1.45626394803568	0.936745132109086	-0.199121936389892	0.0898058252427185	0.111650485436893	0.111650485436893
BCL3	0.00433882069211975	0.0046679937468676	0.00474001058300822	0.00444617396467054	0.00385259070532722	0.00487605335564483	-0.0352614315649244	0.276973704520528	-0.0408236323383578	-0.136459369980206	0.925435733515124	-0.158760994631757	0.157766990291262	0.12621359223301	0.114077669902913
IRF4	0.00284268973068961	0.00243655508658873	0.00219630117868118	0.0024819758375651	0.00199742648194757	0.0022388391654014	0.195767571990652	0.286700436173502	-0.0276749864110011	0.881439778164657	0.923333062462266	-0.102541272647748	0.0970873786407767	0.0800970873786408	0.121359223300971
GTF3C2	0.000570746760643998	0.000439554591920123	0.000608713706739502	0.000572834315947189	0.000301647109787278	0.000436531051105078	-0.0052671543634961	0.543180597386262	0.479679573579076	-0.0120312461821258	0.906545206457788	1.21196691199701	0.0242718446601942	0.0145631067961165	0.0242718446601942
ETS1	0.00330872232215669	0.00193577778899968	0.00310433091355557	0.0031801520318566	0.00150106104290136	0.00269964164763283	0.0571784841391801	0.366930705355038	0.201514437628609	0.215707248921799	0.86649580244807	0.708033719071804	0.111650485436893	0.0461165048543689	0.101941747572816
TFAP2C	0.00580727329893673	0.00432169857577796	0.00782554058082296	0.00526237938401424	0.00353068415661242	0.00508005354219033	0.1421456696464	0.291650684367133	0.623346712838313	0.573231603512205	0.826188308364285	2.91765314990732	0.138349514563107	0.0898058252427185	0.118932038834951
PAX5	0.00566151881085062	0.00378766282388983	0.0048413720417849	0.00479064831304104	0.003236783945543	0.00447125432647529	0.240968228087417	0.226746839176932	0.114736355109371	1.19252437913301	0.787570871268129	0.508110410428135	0.172330097087379	0.104368932038835	0.16504854368932
NR3C1	0.00628953113276325	0.00527194012718033	0.00712690945097511	0.00537936960590874	0.00441448056751467	0.00492081780596943	0.225515355095623	0.256090293627938	0.53437849325808	0.89883471613923	0.745853437259889	2.43541247424696	0.16504854368932	0.131067961165049	0.160194174757282
TFAP2A	0.00485434709011186	0.00318901064650634	0.00651751455163631	0.00399179364491817	0.00265325921092601	0.00390898125582134	0.282240123416607	0.265343287071876	0.737529232170937	1.17852265358808	0.736074164009821	3.49460356490206	0.118932038834951	0.0776699029126214	0.101941747572816
SRF	0.00168360750129768	0.00109223478894049	0.00198376908769783	0.00163601190611318	0.000928094521070985	0.00152708911192929	0.0413725951571159	0.234939366049049	0.377459852866193	0.178250831271963	0.687370672235104	1.73454470315829	0.109223300970874	0.0679611650485437	0.0898058252427185
NANOG	0.000512799466503124	0.000486523674318012	0.000336917859616559	0.000473031959260754	0.000392000374219968	0.000471115176634268	0.116457101972684	0.311654976882345	-0.483682902088984	0.320530126336952	0.670170731686091	-1.2017478383503	0.0266990291262136	0.0315533980582524	0.0339805825242718
PBX3	0.00108981816957178	0.000804990342830862	0.0010177017433626	0.000959551884383754	0.00066732450781666	0.000948116227545446	0.183654726714216	0.270582987356375	0.102178982456539	0.676464008003827	0.664694559986242	0.334736673378107	0.0728155339805825	0.0461165048543689	0.0679611650485437
FOXM1	0.00583795127818778	0.00426916379286472	0.00472379819914475	0.00492487039692423	0.00365017435797116	0.00460523587974019	0.245376411533662	0.225988135914781	0.0366722811486519	1.07621755693566	0.65314701867158	0.135561692191699	0.135922330097087	0.0776699029126214	0.121359223300971
POU2F2	0.00547554208330203	0.0030285555731124	0.00381059140051564	0.00416239977703413	0.00261585527470105	0.00388221794926673	0.395586264667926	0.211347160439243	-0.0268661936734032	1.99388165816366	0.648282772439147	-0.102040242577679	0.135922330097087	0.0946601941747573	0.140776699029126
ZBTB33	0.00325595619784488	0.00197446619502106	0.00253063050642038	0.00266831738019011	0.00166763932933927	0.00238481195809728	0.28715101469215	0.243655365573974	0.0856213625514363	1.13498366981521	0.613291319106977	0.299353974226632	0.101941747572816	0.0558252427184466	0.111650485436893
CTCF	0.0301094140355982	0.0247520276797219	0.029781467964602	0.0256589969618703	0.0232847221977245	0.0269327202723498	0.230749856793595	0.0881630452926635	0.145054914838133	1.81492654667443	0.551038206903598	1.08396618435406	0.400485436893204	0.388349514563107	0.410194174757282
SP4	0.00229144053019184	0.000744582129920283	0.00174807644833808	0.00178719727351376	0.000590450759988633	0.00154102298613567	0.358555953890928	0.334614239088907	0.181879897887569	1.21299654751473	0.544950564900056	0.494776363682928	0.0509708737864078	0.0242718446601942	0.0485436893203884
BRCA1	0.00208133045896575	0.0009063946912448	0.00149930491107167	0.00147711495371935	0.000766257616851099	0.00127212843352395	0.494723938673887	0.242309901581116	0.237049479714596	2.03935907677608	0.519458913956138	0.835946099801705	0.0800970873786408	0.0412621359223301	0.087378640776699
BHLHE40	0.00708879475218397	0.00489808795110003	0.005939999465945	0.00603819961402815	0.00445941638393878	0.00583363592013218	0.231421908055723	0.135363766430854	0.0260674515230567	1.10517955772396	0.476248564116546	0.114783336353542	0.169902912621359	0.143203883495146	0.177184466019417
ATF2	0.00685659653589712	0.00508962949810413	0.00489913717420602	0.00616073659689655	0.00464733185154236	0.00566535652600229	0.15438977754902	0.131157971579471	-0.209639061838405	0.755393862502818	0.44886174031415	-0.823348481738655	0.131067961165049	0.0995145631067961	0.133495145631068
ZZZ3	0.000283191835130813	9.88251213458461e-05	4.95908212294491e-05	0.000147439700371944	6.79821436583603e-05	8.71232155766945e-05	0.941654626608598	0.539721966888549	-0.812984085835782	1.7292332143908	0.442969083265946	-0.634530525189813	0.00242718446601942	0.00485436893203884	0.00970873786407767
ELF1	0.00811589349750915	0.00482912756422683	0.00772022820497031	0.00729128442316788	0.0044078485109408	0.00674360202072744	0.154576952935691	0.131687931468438	0.195124096312763	0.74548250483727	0.440785097206192	0.884805913971876	0.211165048543689	0.128640776699029	0.191747572815534
ZKSCAN1	0.000871527303878747	0.000590235752213927	0.000912934321589391	0.00075059121473027	0.000480469837041295	0.000691049893916212	0.215518458572646	0.296845447187639	0.401721196240796	0.554032598898134	0.434072098532557	1.02800711539014	0.0315533980582524	0.0242718446601942	0.0364077669902913
E2F4	0.00411084921964083	0.00137201305143196	0.0031616873304171	0.0032983698905737	0.00122912259651964	0.00268505032824584	0.317683260135305	0.158665383589936	0.235745571768945	1.56987884288692	0.415434852968724	0.975284394016375	0.109223300970874	0.0558252427184466	0.131067961165049
EGR1	0.00697412728307226	0.00366861113237842	0.00599871826800515	0.00548789622895141	0.0033584158190289	0.00508941949178252	0.345759492887273	0.127453121810131	0.23715316707056	1.67138975904688	0.414822751908332	1.06200785664664	0.213592233009709	0.160194174757282	0.203883495145631
SUZ12	0.00217322805014445	0.000657024158398208	0.00253866857909218	0.00100852282056114	0.000527603326497079	0.00122881382482507	1.10759584409535	0.316492757889114	1.04680571236539	2.39602687143383	0.396444175371033	2.27574326665297	0.0364077669902913	0.0242718446601942	0.0533980582524272
EZH2	0.00740280091314028	0.00248528890329636	0.0115764595096394	0.00429960770625371	0.00206681410542997	0.00526119522530691	0.783866194910105	0.266004933235873	1.13773160391289	2.16718075652524	0.39059275891857	4.02772860730856	0.0922330097087379	0.0461165048543689	0.0922330097087379
KDM5B	0.00473327133200105	0.00148346281053215	0.00391113542817315	0.00377308296056925	0.00130120122515805	0.00310925876520428	0.327093804374585	0.189124673950505	0.331016803491209	1.33365397372354	0.365607285563786	1.13853938136668	0.087378640776699	0.0266990291262136	0.0898058252427185
GATA1	0.00606524101779446	0.0058866106621446	0.00502052569540228	0.00632843908208882	0.0054274327074404	0.00605990875611201	-0.0612847252359601	0.117167278032214	-0.271457635661387	-0.240617211959481	0.355116209398762	-0.965203202890721	0.104368932038835	0.0970873786407767	0.118932038834951
MAX	0.0194287051261267	0.0118582000687432	0.0187881093199682	0.0162835294359	0.0111460389365761	0.0155107014497372	0.254776316209909	0.0893539445353953	0.276555961446994	1.38373593383077	0.354052958156428	1.45916274508079	0.288834951456311	0.220873786407767	0.269417475728155
MBD4	0.00242274228138633	0.00155554541964567	0.00174739525573878	0.00167413983794579	0.0013735960777379	0.00165724601543091	0.533220907929643	0.179462695180895	0.0764181944513089	1.65117109978262	0.35314072984385	0.206594674979986	0.0461165048543689	0.0339805825242718	0.0461165048543689
IKZF1	0.00272284109174884	0.00191337923814519	0.00108909072776982	0.00195005920180093	0.00170828531084134	0.00187566623387938	0.481594864052391	0.163573900872954	-0.784278985605286	1.46102866726723	0.3141803367464	-1.41031476587958	0.0315533980582524	0.0266990291262136	0.0509708737864078
SPI1	0.00738357604614295	0.00637408457801402	0.00773126352507906	0.00747048925636574	0.00609295013981763	0.00681904639456884	-0.0168830129378353	0.0650772279700117	0.181134213406074	-0.0981656630678328	0.304669454837853	1.12174172665702	0.247572815533981	0.191747572815534	0.20873786407767
ZBTB7A	0.00461451346565587	0.00236650870937107	0.00499068945955269	0.00399993037604562	0.00216615049461299	0.00387403987082662	0.206203656115344	0.12762675304422	0.365400334497653	0.74152408936547	0.287267059680567	1.29913375227592	0.150485436893204	0.087378640776699	0.133495145631068
CEBPB	0.0168588448909098	0.0168025783582758	0.0191442368108851	0.0181223466483868	0.0163104299910583	0.0176642916808205	-0.104264089676671	0.0428878155217846	0.116074248124308	-0.819377419983768	0.285468479866083	1.00226641326526	0.361650485436893	0.354368932038835	0.303398058252427
NRF1	0.00154044359812611	0.000358512562464807	0.00105012651108954	0.00118772668649255	0.000318947114074318	0.000917116035905268	0.375142971613716	0.168706447935425	0.195386959051242	1.4811463496045	0.275810061419767	0.614872819010908	0.058252427184466	0.0218446601941748	0.0752427184466019
SIN3A	0.00876994801514156	0.0033043971206052	0.00689898240724745	0.00675159432524871	0.0031151262209979	0.00596279935910314	0.377340069752121	0.0850964588402438	0.210393788902755	1.89295010826147	0.255305331934439	0.875367256215773	0.155339805825243	0.0728155339805825	0.131067961165049
TAF7	0.00290854512614853	0.000795080680937666	0.0025382598635326	0.00218988526184398	0.000731587590207638	0.00178802781174303	0.409442405407038	0.120070662421993	0.505470600875873	1.78069040154114	0.23522682267911	1.85428824824337	0.0970873786407767	0.0315533980582524	0.0922330097087379
TBL1XR1	0.00484221224498589	0.00330236088870934	0.00381740332650869	0.00434323915096269	0.0031271217660787	0.00401463614829521	0.156894923445735	0.0786623924761879	-0.0726776182537818	0.702930404046756	0.229650496986168	-0.271373746534309	0.114077669902913	0.0825242718446602	0.121359223300971
ELK1	0.00220813277320343	0.000678743965287405	0.00219126035344632	0.00186340346265418	0.000620021613558649	0.00139022120948371	0.244886843489036	0.130548958165828	0.656446447325504	0.940675494223272	0.228044079766241	2.46804536336514	0.0970873786407767	0.0315533980582524	0.0752427184466019
CTCF_StaticAll	0.010706069372319	0.00905729522158819	0.0121464814767384	0.00930588806455242	0.00875453807256913	0.0105383781728685	0.20221316713295	0.0490492250185328	0.204885605404838	1.22635078988588	0.223821689059387	1.21636173518141	0.230582524271845	0.177184466019417	0.194174757281553
REST	0.0110147580168718	0.00663702999016636	0.0101689793609541	0.00947898925562073	0.00642198694138034	0.0088298751504422	0.216632662929099	0.0475180617686846	0.203709941978645	1.24730937074045	0.187610393605365	1.10539205063822	0.252427184466019	0.16504854368932	0.220873786407767
CHD2	0.00787483275388312	0.00396725847710488	0.00631833383559934	0.00638580657224769	0.00381980377950072	0.00601441303517344	0.302380429831793	0.0546438658563705	0.0711202180769845	1.55370464795278	0.17177416982211	0.312727261736868	0.169902912621359	0.104368932038835	0.155339805825243
